state,year,vehicle_segment,ice_vehicle_registrations,ev_vehicle_registrations
Karnataka,2022,3W,60362,5997
Bihar,2017,2W,66325,15794
Tamil Nadu,2022,2W,68393,17161
Karnataka,2016,3W,83435,6553
Chhattisgarh,2022,3W,81267,21387
Jharkhand,2024,2W,81416,6903
Madhya Pradesh,2017,2W,122214,22259
Bihar,2018,3W,88516,17672
Punjab,2017,4W,105800,34452
Gujarat,2021,4W,58281,7942
Tamil Nadu,2018,2W,43982,12994
Uttar Pradesh,2024,4W,58069,104
Madhya Pradesh,2016,3W,164489,9617
Delhi,2024,2W,27021,7003
Chhattisgarh,2018,2W,69513,17948
Chhattisgarh,2019,2W,113164,29498
Jharkhand,2020,2W,84492,11167
Haryana,2020,3W,67473,23441
Assam,2024,3W,26990,5980
Chhattisgarh,2024,2W,5825,624
Chhattisgarh,2020,3W,46629,6288
Madhya Pradesh,2023,2W,97364,15426
Punjab,2023,2W,80101,10148
Assam,2016,4W,51616,4419
Gujarat,2022,4W,78124,19712
Telangana,2022,2W,44933,9212
West Bengal,2020,4W,125030,20261
Delhi,2017,2W,93856,20561
Punjab,2018,2W,76917,10135
Haryana,2017,2W,122940,20500
Odisha,2016,3W,82426,24576
Tamil Nadu,2023,2W,79636,9005
Odisha,2021,2W,102299,23196
Delhi,2021,3W,81919,8616
Assam,2024,2W,55005,16193
Uttar Pradesh,2018,3W,104265,23123
Karnataka,2019,3W,116627,17909
Gujarat,2023,2W,87727,12608
Chhattisgarh,2021,2W,80311,10148
Telangana,2022,3W,128592,17873
Karnataka,2023,2W,114140,20787
Rajasthan,2023,2W,93530,7111
Odisha,2022,3W,80400,6955
Jharkhand,2020,2W,101366,26330
Tamil Nadu,2020,4W,111046,21248
Odisha,2024,4W,91845,15592
Gujarat,2018,3W,66810,18487
Bihar,2016,3W,75902,18701
Assam,2021,4W,129815,2351
Punjab,2018,4W,44702,8334
Telangana,2016,2W,77191,25309
Karnataka,2023,2W,60198,10024
Haryana,2016,4W,45904,11159
Rajasthan,2020,2W,51985,239
Rajasthan,2019,4W,78044,15997
Assam,2024,2W,120916,5824
Chhattisgarh,2024,4W,73800,13609
Gujarat,2016,2W,107200,14134
Jharkhand,2017,2W,50178,19204
Chhattisgarh,2023,2W,103498,24444
Punjab,2024,2W,43795,9427
Rajasthan,2018,2W,114861,34744
Maharashtra,2021,3W,76170,6876
Odisha,2021,4W,112992,16245
Delhi,2018,2W,71772,1622
Uttar Pradesh,2021,3W,107013,29777
Rajasthan,2021,3W,109259,14455
Haryana,2024,3W,40745,97
Uttar Pradesh,2020,3W,81955,19781
Chhattisgarh,2021,3W,81994,17406
Telangana,2019,3W,114389,3777
Karnataka,2017,4W,75544,12487
Assam,2017,4W,85194,17990
Madhya Pradesh,2018,3W,66774,21162
Uttar Pradesh,2017,3W,124014,42077
Chhattisgarh,2024,2W,91520,12840
Tamil Nadu,2018,2W,45116,7667
Assam,2021,3W,78784,19605
Haryana,2021,2W,32212,4908
Gujarat,2024,3W,109592,28585
Chhattisgarh,2019,4W,77281,16127
Jharkhand,2024,2W,107049,817
Odisha,2018,2W,121726,49733
Chhattisgarh,2016,2W,43875,6986
Uttar Pradesh,2019,2W,48929,103
Odisha,2020,2W,124050,33549
Haryana,2022,2W,127880,31162
West Bengal,2023,2W,71146,7860
Maharashtra,2018,2W,84432,5951
Assam,2019,4W,3054,984
Uttar Pradesh,2023,4W,96485,33559
Jharkhand,2020,4W,107253,11731
Madhya Pradesh,2024,3W,53987,5826
Punjab,2020,3W,110167,30671
Punjab,2018,4W,81936,9286
West Bengal,2017,3W,80641,16512
Karnataka,2017,3W,50773,6176
Karnataka,2020,4W,97667,25824
Delhi,2018,4W,86014,13528
Gujarat,2017,3W,105163,12044
Uttar Pradesh,2024,3W,110122,4301
Tamil Nadu,2016,2W,69414,4082
Madhya Pradesh,2018,2W,60962,17829
Karnataka,2017,4W,73818,0
Madhya Pradesh,2020,4W,108736,1941
Gujarat,2023,3W,98647,14638
Delhi,2021,2W,62180,10792
Madhya Pradesh,2016,2W,112380,12408
Uttar Pradesh,2022,3W,125716,28715
Karnataka,2024,2W,65936,16969
West Bengal,2019,3W,89441,19522
Kerala,2019,3W,144295,20993
Haryana,2024,2W,82955,12055
Chhattisgarh,2022,3W,97877,29512
Madhya Pradesh,2018,4W,74784,0
Kerala,2017,4W,105501,8186
Chhattisgarh,2021,2W,56868,16425
Uttar Pradesh,2023,4W,116339,28321
West Bengal,2021,3W,127575,28267
Karnataka,2024,2W,119991,37956
Haryana,2018,3W,44063,14481
Karnataka,2018,2W,60828,14339
Telangana,2020,4W,74894,15450
Bihar,2016,4W,81597,6733
Jharkhand,2024,2W,58855,5734
West Bengal,2024,3W,48881,260
Punjab,2021,2W,65302,5134
Gujarat,2017,4W,115419,10383
Maharashtra,2024,3W,104907,15838
Odisha,2022,3W,50824,10315
Jharkhand,2016,2W,81009,22361
West Bengal,2018,3W,95789,25660
Haryana,2021,4W,114286,20355
Maharashtra,2018,4W,77294,22761
Karnataka,2022,4W,120383,13460
Uttar Pradesh,2021,2W,87380,27926
Kerala,2018,3W,103279,11146
Gujarat,2018,3W,35133,0
Haryana,2018,2W,70677,6966
Kerala,2020,3W,52848,7198
Madhya Pradesh,2021,4W,114680,25891
Telangana,2017,3W,64476,20442
Jharkhand,2019,2W,113042,24943
Tamil Nadu,2019,2W,97932,18867
Assam,2023,2W,125960,0
Odisha,2017,2W,77512,20245
Gujarat,2016,3W,90577,15010
West Bengal,2016,4W,107268,15119
Tamil Nadu,2022,4W,62993,2412
Gujarat,2016,4W,36211,775
Chhattisgarh,2019,2W,82014,16588
Gujarat,2018,2W,23833,2560
West Bengal,2023,2W,20106,4814
Rajasthan,2023,3W,41619,4459
Punjab,2023,2W,57349,14290
Uttar Pradesh,2018,4W,92025,11216
Chhattisgarh,2023,2W,48143,11224
Delhi,2020,2W,104836,5917
Tamil Nadu,2016,3W,119186,30865
Uttar Pradesh,2017,3W,110640,8782
Kerala,2022,2W,82253,21338
Jharkhand,2021,4W,77454,12763
Tamil Nadu,2023,3W,75239,14054
Kerala,2023,2W,89948,11383
Odisha,2021,4W,142695,24625
Gujarat,2023,2W,61753,3868
Odisha,2020,2W,62362,11455
Maharashtra,2020,2W,79228,12749
Gujarat,2023,3W,179334,23329
Uttar Pradesh,2019,2W,105315,17645
Rajasthan,2016,4W,108415,23710
Kerala,2016,4W,144838,24618
Bihar,2023,4W,77712,11826
Gujarat,2021,2W,113523,30524
Assam,2016,2W,79749,9248
Telangana,2017,3W,36724,5363
Gujarat,2018,2W,93722,7819
Delhi,2018,2W,58841,0
West Bengal,2023,2W,90176,5013
Jharkhand,2022,2W,48458,14884
Jharkhand,2022,3W,73067,15538
Punjab,2020,4W,124088,8282
Bihar,2020,2W,82994,30467
Bihar,2019,4W,89677,22739
Haryana,2024,4W,64028,23010
Telangana,2021,3W,83497,18333
Tamil Nadu,2018,2W,56645,7222
Madhya Pradesh,2023,2W,55827,10551
Haryana,2021,2W,85614,31028
Telangana,2016,4W,86961,22961
Gujarat,2016,4W,123461,33215
Uttar Pradesh,2023,3W,74288,23588
Madhya Pradesh,2022,2W,79489,18036
Rajasthan,2021,4W,102796,21302
Assam,2018,2W,71832,7363
Madhya Pradesh,2020,3W,95681,5596
Karnataka,2021,4W,134819,18764
Haryana,2018,3W,71035,18183
Tamil Nadu,2020,4W,49366,17819
Chhattisgarh,2024,4W,59012,4484
Punjab,2021,2W,106888,33537
Uttar Pradesh,2022,4W,105626,28913
Karnataka,2017,4W,71251,15970
Chhattisgarh,2017,3W,55591,13337
Jharkhand,2022,2W,78199,2312
West Bengal,2018,4W,50630,9360
Uttar Pradesh,2018,3W,64593,17945
Karnataka,2016,2W,28528,5083
Madhya Pradesh,2022,4W,76359,21217
Bihar,2023,2W,133924,18551
Maharashtra,2017,4W,116207,35237
Telangana,2020,2W,41667,4807
Chhattisgarh,2019,2W,81991,23512
Tamil Nadu,2020,2W,55786,6890
Kerala,2016,2W,131119,19249
Gujarat,2020,3W,80747,9672
Odisha,2023,4W,50618,7032
Kerala,2018,4W,63585,2536
Telangana,2022,4W,156145,3937
Punjab,2022,4W,71467,15239
Rajasthan,2024,2W,29125,3813
Karnataka,2020,2W,43071,14856
Chhattisgarh,2017,2W,56482,5408
Odisha,2022,4W,112656,26341
West Bengal,2022,2W,66424,9642
Bihar,2022,4W,74786,13167
Assam,2021,2W,80858,22926
Chhattisgarh,2017,4W,113230,21255
Rajasthan,2017,2W,64123,17784
Kerala,2017,3W,45177,9599
Chhattisgarh,2023,2W,93887,15745
Odisha,2019,2W,101597,10446
Maharashtra,2020,4W,70934,11179
Bihar,2021,3W,58749,4641
Chhattisgarh,2022,2W,55662,13962
Chhattisgarh,2018,3W,101953,23019
Odisha,2023,3W,82478,24739
Tamil Nadu,2024,3W,129165,35220
Assam,2018,4W,106515,15732
Gujarat,2018,4W,45301,10752
Assam,2020,3W,38111,5590
Bihar,2020,4W,52325,9122
Madhya Pradesh,2019,3W,46325,7829
Bihar,2018,2W,73053,0
Chhattisgarh,2022,3W,27998,5477
Madhya Pradesh,2021,3W,60676,15867
Madhya Pradesh,2023,3W,107698,20472
Telangana,2018,2W,159203,32876
Odisha,2017,3W,72215,12489
Punjab,2023,3W,95092,11857
Delhi,2024,2W,102258,28918
Bihar,2024,4W,83560,0
Madhya Pradesh,2022,2W,86774,10022
West Bengal,2023,2W,70218,16369
Madhya Pradesh,2022,4W,84482,7054
Assam,2020,2W,107900,33777
Karnataka,2019,4W,81029,13482
Tamil Nadu,2019,3W,102261,20416
West Bengal,2022,4W,65155,9802
Kerala,2022,2W,78995,9193
Gujarat,2023,3W,87748,12488
Odisha,2023,3W,113577,13392
Telangana,2023,2W,45041,14993
Tamil Nadu,2019,2W,27463,7133
Odisha,2021,3W,114369,23958
Kerala,2020,3W,100945,19006
Rajasthan,2021,3W,99962,18196
Haryana,2023,3W,84184,6721
West Bengal,2018,4W,90471,18128
Kerala,2016,2W,100198,52777
Odisha,2018,2W,101486,10282
Punjab,2024,4W,28117,5782
Gujarat,2016,4W,89308,31263
Bihar,2019,4W,90927,20009
Uttar Pradesh,2022,4W,88849,13503
Haryana,2021,4W,67474,11081
Punjab,2024,4W,61523,9417
Chhattisgarh,2020,4W,85802,10560
Telangana,2022,2W,88540,22385
West Bengal,2022,2W,129095,17765
Bihar,2020,3W,138290,23452
Odisha,2018,4W,44126,1538
Chhattisgarh,2019,2W,102000,15507
West Bengal,2024,2W,130539,9694
Delhi,2019,2W,69360,7819
Kerala,2021,3W,57808,4267
Bihar,2018,3W,105726,31817
Punjab,2021,2W,111913,17802
Karnataka,2017,4W,27107,4053
Kerala,2016,4W,60149,17362
Madhya Pradesh,2023,2W,86028,18280
Punjab,2021,2W,113122,2254
Haryana,2017,4W,89645,18493
Karnataka,2022,3W,68192,14011
Assam,2022,4W,60476,12731
Rajasthan,2023,2W,70083,6966
Odisha,2017,3W,33672,5519
Madhya Pradesh,2018,3W,99718,6142
Madhya Pradesh,2020,4W,66026,13342
Bihar,2021,3W,96545,7723
Kerala,2019,3W,55673,11623
Gujarat,2017,3W,84034,11032
Chhattisgarh,2017,4W,61816,6637
Maharashtra,2018,3W,109321,22312
Odisha,2018,4W,130615,31680
Jharkhand,2023,2W,95394,13647
Assam,2022,2W,68466,10551
Odisha,2018,4W,104816,9882
Bihar,2022,4W,65489,14123
Jharkhand,2022,4W,12669,2515
Gujarat,2023,2W,37557,4233
Gujarat,2020,2W,93542,16090
Telangana,2024,2W,62660,6709
Uttar Pradesh,2021,2W,63535,18309
Maharashtra,2016,3W,36527,10224
Jharkhand,2022,4W,55511,5281
Kerala,2017,2W,68521,23617
Madhya Pradesh,2018,3W,122040,37302
Uttar Pradesh,2022,2W,32674,5558
Haryana,2021,4W,89051,10480
Telangana,2016,2W,10215,1256
Chhattisgarh,2020,2W,31965,10007
Kerala,2023,4W,32429,8365
Jharkhand,2016,4W,4565,412
Chhattisgarh,2017,3W,118946,14879
Jharkhand,2020,2W,105903,17829
West Bengal,2021,2W,68026,13395
Bihar,2018,3W,99518,36565
Jharkhand,2023,4W,62950,11604
Tamil Nadu,2023,3W,64097,6273
Gujarat,2022,2W,49526,0
Tamil Nadu,2016,4W,118934,24839
Telangana,2022,3W,69609,9376
Maharashtra,2019,4W,92109,21393
West Bengal,2020,2W,103095,26451
Bihar,2021,4W,68971,10185
Assam,2024,2W,115860,23627
Gujarat,2016,3W,43885,12622
Chhattisgarh,2021,4W,69389,8487
Uttar Pradesh,2021,3W,109842,18582
Rajasthan,2017,4W,49551,2811
Assam,2024,2W,82665,31194
Madhya Pradesh,2016,2W,34845,9013
Delhi,2018,3W,20248,2980
Rajasthan,2022,4W,141520,13605
Uttar Pradesh,2017,4W,100608,26631
Tamil Nadu,2022,2W,117798,40138
Kerala,2018,2W,115273,38486
Karnataka,2023,3W,24754,3386
Kerala,2017,2W,57178,17319
Odisha,2020,4W,75878,6043
Rajasthan,2021,4W,65781,9035
Karnataka,2020,2W,91638,15312
Kerala,2018,2W,64632,11822
Madhya Pradesh,2021,3W,1138,370
Telangana,2019,2W,65568,4144
Uttar Pradesh,2017,3W,71811,7076
Maharashtra,2023,4W,29174,11486
Rajasthan,2018,2W,89136,17564
Jharkhand,2017,2W,58873,3163
Jharkhand,2018,4W,61776,18674
Telangana,2016,3W,90646,15775
Madhya Pradesh,2016,2W,15424,2404
Telangana,2024,3W,82293,3275
Madhya Pradesh,2022,2W,27864,9335
Madhya Pradesh,2016,2W,46586,3351
Kerala,2020,2W,89346,27504
Karnataka,2018,3W,112430,13871
Odisha,2017,3W,93029,29406
Haryana,2022,2W,39725,296
Odisha,2023,4W,32376,2427
West Bengal,2022,3W,95534,27152
Kerala,2018,3W,62466,14426
Haryana,2024,4W,81923,7667
Telangana,2018,2W,83113,0
Chhattisgarh,2024,3W,59253,14291
Chhattisgarh,2018,4W,95427,4471
Gujarat,2016,3W,80863,20853
Telangana,2022,4W,86931,0
Jharkhand,2024,3W,33637,7778
Chhattisgarh,2020,4W,107280,5191
Chhattisgarh,2016,3W,60047,16947
Odisha,2018,3W,107257,18514
Madhya Pradesh,2017,2W,93639,19255
Assam,2019,3W,89010,11591
Assam,2022,4W,48008,10761
West Bengal,2020,3W,94894,20533
Chhattisgarh,2022,2W,87275,21622
Haryana,2018,4W,65900,23089
Chhattisgarh,2019,2W,81819,19705
Telangana,2016,2W,61134,3669
Punjab,2016,3W,68408,18960
Delhi,2019,4W,53544,3781
Karnataka,2018,4W,58540,16199
Tamil Nadu,2021,4W,93647,27426
Tamil Nadu,2024,4W,19498,347
Delhi,2024,2W,92001,17495
Punjab,2021,4W,72026,10091
Odisha,2018,4W,68197,17135
Delhi,2020,2W,75608,0
Chhattisgarh,2016,4W,70463,2664
Bihar,2016,2W,58708,13390
Gujarat,2019,4W,88087,18141
Assam,2023,4W,85845,4356
Haryana,2020,4W,87384,22829
Tamil Nadu,2020,3W,69114,13117
Odisha,2024,4W,49614,6275
Odisha,2024,4W,129094,12870
Chhattisgarh,2017,4W,71660,0
Bihar,2018,4W,19216,5951
Punjab,2019,3W,96164,9291
Odisha,2017,4W,75618,5789
Telangana,2019,4W,68098,16058
Delhi,2022,3W,33888,5707
Karnataka,2017,2W,105065,6932
Delhi,2017,3W,73765,17915
Kerala,2020,2W,75774,12379
Maharashtra,2016,2W,63207,10064
Telangana,2019,2W,53537,7789
Chhattisgarh,2022,2W,94351,7651
Maharashtra,2019,3W,119099,2015
Punjab,2017,3W,113712,12857
Tamil Nadu,2021,2W,47716,17393
Odisha,2024,4W,55248,6438
Karnataka,2020,2W,65999,2136
Haryana,2018,4W,60413,7173
Bihar,2019,3W,74775,2067
Haryana,2024,4W,97999,0
Karnataka,2018,2W,68172,0
Rajasthan,2020,3W,83024,6316
Assam,2019,4W,14430,3690
West Bengal,2016,4W,86101,11287
Gujarat,2024,2W,85266,9534
Punjab,2021,4W,67477,15916
West Bengal,2017,4W,56651,12743
Jharkhand,2016,4W,95616,23544
Maharashtra,2016,2W,85689,7339
Karnataka,2023,4W,65853,19718
Maharashtra,2024,4W,60038,20205
Uttar Pradesh,2023,4W,60505,3917
Odisha,2017,3W,110236,21895
Haryana,2022,4W,70608,28729
Jharkhand,2017,3W,62126,3782
Assam,2016,2W,46069,9422
Rajasthan,2019,4W,91559,15951
Assam,2020,4W,78467,20870
Rajasthan,2018,3W,60934,13181
Tamil Nadu,2016,3W,81306,14511
Gujarat,2020,2W,80272,999
Telangana,2018,2W,44644,7643
West Bengal,2022,4W,71678,8989
Assam,2018,4W,16157,3147
Karnataka,2018,2W,63032,0
Gujarat,2019,2W,131998,39012
Tamil Nadu,2017,4W,88200,14132
Maharashtra,2019,3W,36123,11237
Uttar Pradesh,2020,3W,120775,0
Chhattisgarh,2021,3W,64534,9054
Gujarat,2024,2W,60781,5932
Uttar Pradesh,2017,4W,59212,8572
Delhi,2022,2W,118119,11200
Delhi,2018,3W,122066,21588
Odisha,2017,4W,105861,17816
Odisha,2017,3W,56394,9737
Telangana,2023,3W,80382,13836
Punjab,2020,4W,70102,15042
Uttar Pradesh,2024,3W,81237,13680
Delhi,2019,2W,94205,19997
Telangana,2017,3W,14131,2040
Uttar Pradesh,2024,2W,67134,7502
Delhi,2021,2W,65528,20355
Karnataka,2017,2W,73995,14310
Chhattisgarh,2016,4W,87470,7531
Karnataka,2019,4W,96477,13281
Gujarat,2016,4W,125810,16776
West Bengal,2018,2W,61865,18306
Chhattisgarh,2021,3W,104014,0
Chhattisgarh,2018,3W,75544,20211
Uttar Pradesh,2017,2W,106180,13042
Kerala,2018,3W,73358,30795
Jharkhand,2019,3W,69502,16685
West Bengal,2022,2W,99900,24524
Odisha,2023,3W,62633,7414
Tamil Nadu,2024,2W,80304,15199
Gujarat,2022,2W,89935,23271
Gujarat,2018,3W,42329,2532
Chhattisgarh,2017,3W,102613,22595
Punjab,2016,4W,43620,2390
Uttar Pradesh,2024,4W,135192,3033
West Bengal,2016,3W,59650,14361
Odisha,2022,2W,37693,3647
West Bengal,2017,2W,73141,24965
Punjab,2022,3W,75775,20935
Rajasthan,2023,3W,114718,29225
Kerala,2023,4W,47541,8066
Jharkhand,2016,4W,40383,5320
Madhya Pradesh,2023,4W,105246,17546
Madhya Pradesh,2020,2W,107823,17626
Haryana,2023,2W,106690,34433
Jharkhand,2021,3W,45204,8589
Madhya Pradesh,2023,2W,82166,9698
Delhi,2021,3W,39635,10776
Tamil Nadu,2017,4W,93000,19341
Odisha,2018,2W,77898,12192
West Bengal,2019,4W,58159,7768
Haryana,2017,2W,81394,19530
Jharkhand,2016,4W,99178,4131
Maharashtra,2022,3W,71253,5846
Chhattisgarh,2017,2W,48441,13189
Tamil Nadu,2017,3W,69745,21854
Maharashtra,2016,2W,72042,26669
Odisha,2020,3W,51121,5523
Kerala,2024,3W,76615,11152
Kerala,2021,4W,93977,0
Karnataka,2021,4W,134390,29666
Bihar,2016,3W,114026,10387
Jharkhand,2023,3W,126829,202
Chhattisgarh,2024,3W,97440,35950
Madhya Pradesh,2016,2W,82429,18227
Rajasthan,2018,4W,108538,28249
Punjab,2016,4W,89511,1146
Jharkhand,2023,3W,17928,3119
Odisha,2024,3W,89054,25706
Odisha,2024,3W,83609,13008
Chhattisgarh,2022,2W,117338,28333
Madhya Pradesh,2017,2W,70610,14449
Uttar Pradesh,2023,4W,72365,9997
Chhattisgarh,2023,3W,105014,13791
Uttar Pradesh,2020,3W,81945,20598
Maharashtra,2017,2W,70937,19710
Assam,2019,3W,147982,5052
Rajasthan,2024,2W,92000,9687
Punjab,2021,3W,78175,0
Karnataka,2022,3W,87791,16747
Rajasthan,2018,2W,63766,21184
Delhi,2020,4W,63266,5397
Punjab,2024,3W,36395,10968
Rajasthan,2020,2W,81955,11480
Maharashtra,2020,4W,76935,4259
West Bengal,2020,3W,73858,16648
Assam,2019,2W,99357,28258
Karnataka,2020,2W,74321,18993
West Bengal,2021,3W,66642,13834
Chhattisgarh,2018,2W,66782,14416
Jharkhand,2021,2W,91762,12297
Delhi,2024,2W,87538,8625
Kerala,2021,4W,27419,6733
Maharashtra,2024,3W,42818,6187
Madhya Pradesh,2019,3W,59553,4429
Tamil Nadu,2019,4W,53095,10861
Madhya Pradesh,2019,4W,62375,15626
Tamil Nadu,2024,3W,91711,7199
Delhi,2024,2W,85605,28972
Jharkhand,2018,3W,68377,17688
Kerala,2021,3W,42755,8832
Haryana,2019,2W,155370,16248
Kerala,2024,3W,94589,21148
Madhya Pradesh,2024,2W,151875,24572
Telangana,2021,3W,83972,16150
Tamil Nadu,2016,3W,110243,31321
Madhya Pradesh,2018,2W,138500,30713
Delhi,2018,2W,41292,9605
Madhya Pradesh,2023,3W,117110,41952
Assam,2017,3W,79913,0
Uttar Pradesh,2021,2W,138465,24590
Rajasthan,2018,4W,82481,11725
Assam,2022,3W,86058,4686
Telangana,2023,2W,21806,4093
Odisha,2024,2W,134802,32507
Madhya Pradesh,2018,3W,70578,561
Uttar Pradesh,2018,4W,74060,25351
Delhi,2022,3W,112320,4979
Jharkhand,2017,2W,71172,3803
Rajasthan,2019,4W,58306,4028
Maharashtra,2022,3W,100314,30222
Punjab,2021,2W,85323,14680
Maharashtra,2018,2W,60815,12512
Punjab,2021,4W,51454,11027
Jharkhand,2018,2W,115666,15768
Bihar,2016,2W,57107,15808
West Bengal,2017,4W,78360,10131
Rajasthan,2023,2W,85483,19620
Karnataka,2021,4W,81652,15599
Assam,2018,2W,108465,16657
Tamil Nadu,2021,2W,28249,7060
Madhya Pradesh,2021,3W,150005,3181
Kerala,2023,2W,69202,12919
Bihar,2017,4W,60353,2317
Bihar,2016,3W,86144,27772
Madhya Pradesh,2017,3W,73102,28556
Gujarat,2019,4W,93384,4491
Odisha,2021,3W,98703,15507
Uttar Pradesh,2019,4W,80722,6883
West Bengal,2016,2W,124283,34558
Uttar Pradesh,2016,4W,63679,14399
Delhi,2024,2W,81001,1624
Haryana,2023,2W,128474,19662
Odisha,2018,4W,85509,18241
Assam,2024,4W,62146,12497
Karnataka,2021,4W,83227,13141
Maharashtra,2016,3W,75477,20509
West Bengal,2019,4W,106567,15341
West Bengal,2022,4W,69796,12595
Uttar Pradesh,2021,2W,91743,0
Rajasthan,2016,2W,106762,38839
Uttar Pradesh,2016,4W,39164,2888
Karnataka,2023,3W,75021,8768
Kerala,2018,3W,90887,18959
Telangana,2023,2W,45331,13347
Kerala,2016,3W,98354,20140
Bihar,2021,3W,74740,24153
Gujarat,2020,2W,118864,26978
Tamil Nadu,2023,2W,64529,27544
Bihar,2016,2W,67755,12129
Telangana,2016,3W,155887,36765
West Bengal,2023,2W,123536,0
Madhya Pradesh,2022,3W,101795,7650
Uttar Pradesh,2017,4W,47894,9026
Haryana,2023,3W,119084,23073
Uttar Pradesh,2019,3W,70576,3441
Bihar,2024,3W,87926,16841
Uttar Pradesh,2019,3W,105488,18968
Odisha,2024,4W,110682,16760
Haryana,2021,2W,99610,27771
Jharkhand,2020,3W,63059,11505
Madhya Pradesh,2018,3W,104139,12677
Chhattisgarh,2020,4W,143055,27093
Bihar,2022,3W,55603,4802
Bihar,2021,4W,113869,33014
Jharkhand,2021,3W,56237,10221
Tamil Nadu,2022,2W,54191,2054
Chhattisgarh,2023,3W,85418,23746
Punjab,2020,4W,131949,11031
Karnataka,2020,2W,84330,17814
Delhi,2023,2W,108005,10316
Madhya Pradesh,2024,2W,106682,10551
Gujarat,2023,4W,90913,17658
Delhi,2022,3W,74895,21760
Uttar Pradesh,2017,4W,34724,8765
Kerala,2019,3W,83723,17360
Bihar,2024,2W,31524,7134
Bihar,2018,3W,46238,9711
Assam,2022,3W,86179,7928
Assam,2016,4W,44054,2746
Gujarat,2017,3W,101206,0
Delhi,2019,3W,101397,28205
West Bengal,2017,2W,83134,19355
Uttar Pradesh,2019,2W,52885,6632
Bihar,2018,2W,64370,22337
Punjab,2017,3W,71917,18534
Tamil Nadu,2016,3W,89486,3312
Uttar Pradesh,2021,4W,59771,14773
Bihar,2024,3W,81892,14081
Gujarat,2019,2W,60046,21491
Jharkhand,2017,4W,98776,25393
Maharashtra,2016,2W,27343,3960
West Bengal,2017,4W,100468,21374
Delhi,2022,2W,34640,7291
Jharkhand,2018,4W,45516,13769
West Bengal,2023,3W,13915,2787
Karnataka,2017,3W,94769,13145
Punjab,2023,2W,104307,37591
Tamil Nadu,2023,2W,73160,3644
Punjab,2022,4W,43040,14407
Madhya Pradesh,2022,2W,91663,15645
Telangana,2021,4W,51225,15853
Bihar,2016,2W,49836,1893
Haryana,2021,2W,74528,19986
Uttar Pradesh,2019,3W,86211,3769
Assam,2024,4W,48212,9247
Maharashtra,2016,3W,122865,19616
Kerala,2017,3W,113821,7745
Karnataka,2019,2W,72932,21056
Jharkhand,2023,2W,67390,11503
Madhya Pradesh,2023,2W,113317,16265
West Bengal,2019,2W,110684,7431
Punjab,2022,2W,76615,12927
Chhattisgarh,2016,3W,72146,10695
Uttar Pradesh,2022,2W,64508,4271
Assam,2016,4W,113654,25263
Kerala,2023,2W,57535,10318
Bihar,2018,3W,21985,6045
Punjab,2023,3W,96221,11098
Gujarat,2017,3W,57487,15316
Kerala,2017,4W,106469,3249
Maharashtra,2022,4W,102647,30843
Kerala,2022,2W,70941,9726
Bihar,2022,2W,67042,6952
Gujarat,2024,4W,59335,14517
Tamil Nadu,2021,3W,115906,25402
Rajasthan,2017,2W,79431,18470
Chhattisgarh,2022,3W,117540,30476
Telangana,2019,4W,138908,16885
Maharashtra,2024,4W,59989,15803
Jharkhand,2021,2W,51036,9079
Jharkhand,2022,3W,111407,23616
Assam,2023,4W,103616,26691
Odisha,2021,4W,104572,25402
Delhi,2021,4W,77694,20747
Gujarat,2024,3W,133258,20341
Assam,2024,2W,61891,17505
West Bengal,2020,4W,78687,7546
Punjab,2021,2W,100417,9553
Uttar Pradesh,2021,4W,65147,17420
Delhi,2021,2W,34636,6018
Odisha,2020,2W,115366,14620
Rajasthan,2017,4W,112342,31310
Rajasthan,2017,4W,35474,5993
Punjab,2021,4W,88572,26317
Jharkhand,2019,2W,74344,14832
Kerala,2017,3W,39578,4861
Madhya Pradesh,2017,3W,44797,3985
Punjab,2022,4W,51517,18198
Maharashtra,2024,2W,84913,24355
Kerala,2016,2W,83390,15382
Gujarat,2022,3W,124471,18556
Gujarat,2018,2W,72159,4493
Uttar Pradesh,2017,2W,92967,19135
Maharashtra,2016,4W,79639,17232
Madhya Pradesh,2016,3W,77745,10013
West Bengal,2022,2W,64759,25682
Gujarat,2021,2W,87800,27707
Gujarat,2021,3W,60592,8674
Madhya Pradesh,2022,4W,72471,6987
Tamil Nadu,2019,4W,87262,14113
Bihar,2023,4W,59213,4368
Gujarat,2016,4W,118864,21128
Haryana,2019,2W,129998,10848
Haryana,2023,3W,65375,10138
Punjab,2020,2W,82055,25847
Delhi,2018,3W,30144,1428
Madhya Pradesh,2017,2W,19165,3544
West Bengal,2019,3W,99431,12714
Karnataka,2019,3W,132895,0
Odisha,2017,3W,96383,25925
Punjab,2023,2W,42876,7298
Telangana,2021,4W,157199,29901
West Bengal,2024,3W,107831,31321
Maharashtra,2021,4W,143590,23342
Odisha,2022,4W,45455,14173
Haryana,2024,2W,75285,9234
Jharkhand,2018,3W,100774,17440
Kerala,2017,2W,73550,12946
Karnataka,2022,2W,95120,8605
Kerala,2024,3W,103962,23294
Delhi,2018,2W,103617,26855
Assam,2017,2W,36630,67
Odisha,2016,4W,71211,18706
Rajasthan,2020,4W,111325,14823
Jharkhand,2016,4W,74519,996
Gujarat,2019,3W,61734,8248
Punjab,2017,3W,62096,6430
Jharkhand,2020,4W,122567,32661
Kerala,2022,2W,71487,6557
